pop1,pop2,k1,k2
604,0,11.23,-1.00
0,741,-1.00,8.88
0,927,-1.00,6.18
633,0,9.36,-1.00
12,0,18.92,-1.00
741,0,6.48,-1.00
0,0,-1.00,-1.00
0,1071,-1.00,8.02
969,0,7.90,-1.00
726,0,7.33,-1.00
1014,0,9.22,-1.00
756,0,5.73,-1.00
0,614,-1.00,11.49
941,0,5.39,-1.00
1046,0,6.73,-1.00
925,0,6.75,-1.00
0,873,-1.00,7.80
690,0,8.10,-1.00
9,0,17.67,-1.00
0,718,-1.00,9.96
906,0,6.91,-1.00
1319,0,4.79,-1.00
0,598,-1.00,10.82
0,1281,-1.00,8.12
913,0,6.86,-1.00
550,0,12.46,-1.00
0,761,-1.00,8.45
0,798,-1.00,13.87
715,0,7.60,-1.00
1090,0,11.87,-1.00
976,0,6.31,-1.00
865,0,4.66,-1.00
1133,0,7.44,-1.00
846,0,8.12,-1.00
0,995,-1.00,11.02
0,749,-1.00,14.46
0,758,-1.00,5.30
689,0,10.41,-1.00
0,0,-1.00,-1.00
910,0,8.94,-1.00
0,1130,-1.00,8.41
0,0,-1.00,-1.00
0,706,-1.00,8.20
0,1155,-1.00,7.13
863,0,8.09,-1.00
0,534,-1.00,13.28
945,0,6.70,-1.00
1128,0,5.63,-1.00
0,28,-1.00,17.29
0,564,-1.00,12.49
0,933,-1.00,7.81
0,923,-1.00,9.00
1330,0,8.48,-1.00
1104,0,5.42,-1.00
0,1150,-1.00,5.63
595,0,11.30,-1.00
981,0,7.68,-1.00
1150,0,7.45,-1.00
0,1031,-1.00,11.30
0,216,-1.00,13.97
629,0,10.86,-1.00
0,0,-1.00,-1.00
904,0,7.13,-1.00
924,0,7.70,-1.00
814,0,8.36,-1.00
0,855,-1.00,7.61
0,1141,-1.00,7.77
761,0,6.61,-1.00
976,0,11.41,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,674,-1.00,7.96
1181,0,8.61,-1.00
1444,0,6.11,-1.00
0,903,-1.00,8.79
687,0,7.62,-1.00
642,0,10.98,-1.00
678,0,10.87,-1.00
638,0,10.40,-1.00
1227,0,6.30,-1.00
895,0,8.61,-1.00
0,57,-1.00,16.81
762,0,7.34,-1.00
1006,0,7.89,-1.00
0,1063,-1.00,8.26
0,1024,-1.00,8.20
906,0,8.19,-1.00
0,719,-1.00,11.66
1125,0,8.84,-1.00
0,850,-1.00,8.74
1195,0,9.04,-1.00
0,867,-1.00,10.14
601,0,10.32,-1.00
713,0,11.11,-1.00
1456,0,6.94,-1.00
0,581,-1.00,12.46
0,1091,-1.00,8.89
0,1045,-1.00,9.64
0,1001,-1.00,9.27
0,975,-1.00,8.47
834,0,7.67,-1.00
1134,0,7.20,-1.00
691,0,6.83,-1.00
1222,0,6.02,-1.00
730,0,6.09,-1.00
854,0,8.73,-1.00
0,759,-1.00,7.75
0,1280,-1.00,7.32
1071,0,9.33,-1.00
0,781,-1.00,5.21
1086,0,7.12,-1.00
0,466,-1.00,13.84
0,923,-1.00,8.02
0,733,-1.00,7.94
1212,0,9.24,-1.00
1055,0,9.09,-1.00
1125,0,4.84,-1.00
0,792,-1.00,10.35
0,155,-1.00,15.71
702,0,10.64,-1.00
0,655,-1.00,9.69
1069,0,9.53,-1.00
0,562,-1.00,12.99
775,0,8.67,-1.00
1208,0,6.16,-1.00
1203,0,7.71,-1.00
0,769,-1.00,8.57
795,0,10.56,-1.00
784,0,5.79,-1.00
887,0,9.00,-1.00
1155,0,8.78,-1.00
0,1155,-1.00,10.96
1047,0,6.87,-1.00
978,0,8.36,-1.00
0,1024,-1.00,12.35
1542,0,6.20,-1.00
753,0,11.23,-1.00
960,0,7.92,-1.00
0,745,-1.00,7.80
0,821,-1.00,6.90
702,0,7.93,-1.00
0,30,-1.00,18.47
0,1065,-1.00,11.27
636,0,10.83,-1.00
1302,0,5.93,-1.00
0,840,-1.00,8.47
0,1295,-1.00,7.33
817,0,7.85,-1.00
959,0,7.67,-1.00
0,730,-1.00,8.97
861,0,5.43,-1.00
918,0,6.19,-1.00
0,691,-1.00,11.46
0,713,-1.00,9.48
1139,0,6.64,-1.00
0,873,-1.00,7.77
0,763,-1.00,8.89
958,0,7.10,-1.00
728,0,6.03,-1.00
800,0,8.46,-1.00
974,0,6.24,-1.00
874,0,7.13,-1.00
851,0,5.97,-1.00
0,728,-1.00,8.65
1232,0,7.25,-1.00
0,725,-1.00,8.79
0,1397,-1.00,6.67
0,0,-1.00,-1.00
0,847,-1.00,9.57
1105,0,7.67,-1.00
686,0,10.22,-1.00
0,692,-1.00,7.74
894,0,7.08,-1.00
0,657,-1.00,11.32
1077,0,5.49,-1.00
668,0,7.44,-1.00
0,726,-1.00,9.84
761,0,8.71,-1.00
0,829,-1.00,7.44
0,1044,-1.00,8.71
0,1083,-1.00,7.87
910,0,7.39,-1.00
1128,0,11.21,-1.00
0,1173,-1.00,6.88
770,0,5.59,-1.00
830,0,5.12,-1.00
641,0,8.98,-1.00
886,0,6.74,-1.00
0,782,-1.00,10.21
1096,0,5.47,-1.00
0,891,-1.00,5.81
857,0,8.01,-1.00
0,0,-1.00,-1.00
0,733,-1.00,7.15
0,970,-1.00,7.95
0,770,-1.00,12.57
0,840,-1.00,10.66
0,673,-1.00,9.94
0,741,-1.00,7.20
1340,0,6.71,-1.00
545,0,12.38,-1.00
0,1090,-1.00,10.85
1203,0,6.62,-1.00
780,0,11.74,-1.00
653,0,8.26,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,833,-1.00,10.98
699,0,11.11,-1.00
861,0,8.12,-1.00
806,0,9.33,-1.00
723,0,11.37,-1.00
994,0,9.90,-1.00
692,0,8.59,-1.00
0,64,-1.00,15.94
0,1105,-1.00,8.63
757,0,8.09,-1.00
0,904,-1.00,9.00
0,716,-1.00,6.74
0,812,-1.00,6.96
933,0,6.77,-1.00
0,0,-1.00,-1.00
818,0,5.92,-1.00
0,802,-1.00,9.45
1262,0,6.24,-1.00
789,0,7.11,-1.00
821,0,8.22,-1.00
0,1217,-1.00,5.36
1078,0,8.15,-1.00
0,0,-1.00,-1.00
770,0,6.18,-1.00
635,0,13.83,-1.00
0,667,-1.00,7.93
0,1075,-1.00,6.38
1044,0,7.50,-1.00
1076,0,6.10,-1.00
0,611,-1.00,13.37
662,0,9.38,-1.00
0,759,-1.00,7.16
0,697,-1.00,7.49
0,969,-1.00,6.11
767,0,6.87,-1.00
1251,0,8.54,-1.00
761,0,5.99,-1.00
0,922,-1.00,6.97
0,676,-1.00,9.39
1018,0,8.02,-1.00
0,1404,-1.00,6.47
728,0,9.54,-1.00
1141,0,6.61,-1.00
871,0,5.32,-1.00
1138,0,10.40,-1.00
982,0,6.14,-1.00
588,0,13.99,-1.00
930,0,6.87,-1.00
0,1186,-1.00,8.84
0,725,-1.00,10.83
0,0,-1.00,-1.00
738,0,7.74,-1.00
1202,0,8.06,-1.00
1159,0,6.37,-1.00
1075,0,6.07,-1.00
0,734,-1.00,7.65
0,609,-1.00,10.51
0,0,-1.00,-1.00
875,0,4.21,-1.00
598,0,11.95,-1.00
911,0,6.57,-1.00
0,781,-1.00,6.27
