gen,pop1,pop2,k1,k2
485,206,0,9.62,-1.00
486,196,0,9.54,-1.00
487,215,0,9.51,-1.00
488,206,0,9.65,-1.00
489,169,0,9.93,-1.00
490,223,0,10.02,-1.00
491,216,0,10.17,-1.00
492,216,0,10.19,-1.00
493,205,0,10.06,-1.00
494,182,0,9.98,-1.00
495,194,0,10.11,-1.00
496,189,0,10.01,-1.00
497,208,0,10.10,-1.00
498,192,0,10.10,-1.00
499,195,0,10.28,-1.00
500,187,0,10.44,-1.00
